pop	clust1	clust2
fall	0.7371	0.2629
fall	0.5147	0.4853
fall	0.5409	0.4591
fall	0.6680	0.3320
fall	0.1224	0.8776
fall	0.4469	0.5531
fall	0.4484	0.5516
fall	0.7216	0.2784
fall	0.4342	0.5658
fall	0.3712	0.6288
fall	0.5662	0.4338
fall	0.5029	0.4971
fall	0.6446	0.3554
fall	0.3411	0.6589
fall	0.3609	0.6391
fall	0.5107	0.4893
fall	0.5194	0.4806
fall	0.6614	0.3386
fall	0.5782	0.4218
fall	0.4401	0.5599
fall	0.4375	0.5625
fall	0.5537	0.4463
fall	0.3934	0.6066
fall	0.7380	0.2620
fall	0.4414	0.5586
fall	0.5038	0.4962
fall	0.5426	0.4574
fall	0.6208	0.3792
fall	0.5493	0.4507
fall	0.2691	0.7309
fall	0.5917	0.4083
fall	0.4860	0.5140
fall	0.5319	0.4681
fall	0.3477	0.6523
fall	0.5760	0.4240
fall	0.4623	0.5377
fall	0.4854	0.5146
fall	0.3635	0.6365
fall	0.4952	0.5048
fall	0.3833	0.6167
fall	0.5814	0.4186
fall	0.1971	0.8029
fall	0.5980	0.4020
fall	0.5955	0.4045
fall	0.4147	0.5853
fall	0.5440	0.4560
fall	0.5663	0.4337
fall	0.6096	0.3904
fall	0.6482	0.3518
fall	0.6549	0.3451
fall	0.2504	0.7496
fall	0.1909	0.8091
fall	0.6394	0.3606
fall	0.5519	0.4481
fall	0.5228	0.4772
fall	0.5126	0.4874
fall	0.7049	0.2951
fall	0.2728	0.7272
fall	0.7091	0.2909
fall	0.4783	0.5217
fall	0.5931	0.4069
fall	0.6161	0.3839
fall	0.4723	0.5277
fall	0.5377	0.4623
fall	0.6100	0.3900
fall	0.3787	0.6213
fall	0.6756	0.3244
fall	0.5685	0.4315
fall	0.4281	0.5719
fall	0.6244	0.3756
fall	0.6181	0.3819
fall	0.6407	0.3593
fall	0.4650	0.5350
fall	0.6140	0.3860
fall	0.5149	0.4851
fall	0.5881	0.4119
fall	0.1482	0.8518
fall	0.5981	0.4019
fall	0.5783	0.4217
fall	0.2757	0.7243
fall	0.3527	0.6473
fall	0.7212	0.2788
fall	0.5775	0.4225
fall	0.4386	0.5614
fall	0.6378	0.3622
fall	0.4616	0.5384
fall	0.5837	0.4163
halfpounder	0.2086	0.7914
halfpounder	0.5283	0.4717
halfpounder	0.1676	0.8324
halfpounder	0.7512	0.2488
halfpounder	0.6126	0.3874
halfpounder	0.7435	0.2565
halfpounder	0.4444	0.5556
halfpounder	0.4733	0.5267
halfpounder	0.5316	0.4684
halfpounder	0.4917	0.5083
halfpounder	0.6519	0.3481
halfpounder	0.5534	0.4466
halfpounder	0.5705	0.4295
halfpounder	0.3557	0.6443
halfpounder	0.5053	0.4947
halfpounder	0.4687	0.5313
halfpounder	0.6454	0.3546
halfpounder	0.4759	0.5241
halfpounder	0.1574	0.8426
halfpounder	0.5228	0.4772
halfpounder	0.5754	0.4246
