pop	clust1	clust2	clust3
fall	0.4241	0.0521	0.5238
fall	0.1939	0.2172	0.5889
fall	0.2231	0.1957	0.5812
fall	0.5268	0.0758	0.3974
fall	0.0379	0.9330	0.0291
fall	0.4110	0.3695	0.2196
fall	0.3542	0.3566	0.2891
fall	0.4356	0.0593	0.5051
fall	0.2067	0.4139	0.3793
fall	0.1562	0.5507	0.2931
fall	0.5080	0.1660	0.3260
fall	0.6026	0.2403	0.1572
fall	0.5012	0.0964	0.4023
fall	0.3552	0.5655	0.0793
fall	0.3773	0.5284	0.0943
fall	0.4107	0.2321	0.3572
fall	0.7121	0.2073	0.0806
fall	0.2440	0.0814	0.6746
fall	0.4198	0.1630	0.4172
fall	0.4912	0.3754	0.1335
fall	0.2773	0.4155	0.3072
fall	0.1848	0.1885	0.6267
fall	0.2290	0.4629	0.3081
fall	0.1165	0.0514	0.8321
fall	0.3865	0.3857	0.2279
fall	0.2199	0.2518	0.5283
fall	0.6944	0.1537	0.1519
fall	0.0763	0.0877	0.8360
fall	0.4219	0.1883	0.3898
fall	0.1090	0.7582	0.1328
fall	0.4759	0.1370	0.3872
fall	0.2499	0.2911	0.4591
fall	0.2498	0.2177	0.5324
fall	0.2376	0.6033	0.1591
fall	0.2228	0.1719	0.6054
fall	0.3946	0.3473	0.2581
fall	0.1380	0.2489	0.6130
fall	0.1060	0.5250	0.3690
fall	0.4917	0.2642	0.2441
fall	0.4190	0.4528	0.1281
fall	0.6721	0.1240	0.2038
fall	0.0996	0.8471	0.0533
fall	0.4368	0.1363	0.4268
fall	0.4638	0.1298	0.4064
fall	0.1674	0.4531	0.3795
fall	0.1868	0.1916	0.6216
fall	0.1435	0.1604	0.6960
fall	0.5035	0.1328	0.3637
fall	0.3600	0.0965	0.5435
fall	0.8074	0.0747	0.1179
fall	0.1306	0.7749	0.0945
fall	0.0669	0.8611	0.0720
fall	0.1275	0.0962	0.7763
fall	0.2001	0.1811	0.6189
fall	0.5957	0.2115	0.1928
fall	0.1434	0.1992	0.6574
fall	0.1586	0.0612	0.7802
fall	0.1415	0.7404	0.1180
fall	0.2415	0.0617	0.6968
fall	0.4597	0.2928	0.2475
fall	0.2230	0.1453	0.6318
fall	0.5262	0.1171	0.3567
fall	0.1546	0.3536	0.4918
fall	0.5575	0.1952	0.2473
fall	0.5321	0.1268	0.3411
fall	0.3898	0.4755	0.1348
fall	0.2089	0.0954	0.6958
fall	0.2288	0.1740	0.5972
fall	0.0925	0.3575	0.5500
fall	0.3690	0.1031	0.5279
fall	0.4704	0.1193	0.4103
fall	0.6160	0.0887	0.2953
fall	0.1703	0.3542	0.4755
fall	0.8124	0.0857	0.1019
fall	0.3157	0.2678	0.4166
fall	0.1067	0.1347	0.7586
fall	0.0485	0.9127	0.0388
fall	0.5785	0.1346	0.2869
fall	0.3224	0.1750	0.5025
fall	0.1397	0.7289	0.1314
fall	0.2465	0.5614	0.1921
fall	0.1544	0.0552	0.7904
fall	0.2377	0.1479	0.6144
fall	0.3954	0.3640	0.2406
fall	0.3796	0.1100	0.5104
fall	0.6553	0.2608	0.0839
fall	0.2238	0.1351	0.6410
halfpounder	0.0820	0.8544	0.0636
halfpounder	0.4907	0.2295	0.2798
