pop	clust1	clust2	clust3	clust4	clust5
fall	0.2493	0.1198	0.2657	0.0172	0.3480	
fall	0.1842	0.0622	0.4967	0.0758	0.1812	
fall	0.2042	0.0792	0.3758	0.0657	0.2751	
fall	0.1296	0.3444	0.1763	0.0224	0.3272	
fall	0.0117	0.0141	0.0167	0.9418	0.0157	
fall	0.0515	0.0805	0.1594	0.1570	0.5516	
fall	0.1412	0.3746	0.1352	0.1837	0.1652	
fall	0.1699	0.3065	0.3860	0.0171	0.1205	
fall	0.1696	0.0727	0.2207	0.2503	0.2867	
fall	0.1529	0.0983	0.2107	0.4614	0.0768	
fall	0.1578	0.3181	0.0694	0.0602	0.3945	
fall	0.0557	0.1369	0.1831	0.1020	0.5222	
fall	0.1186	0.5443	0.2374	0.0268	0.0729	
fall	0.0319	0.3144	0.0875	0.4504	0.1159	
fall	0.0389	0.3777	0.0722	0.4218	0.0893	
fall	0.1510	0.3497	0.1669	0.0922	0.2403	
fall	0.0209	0.2529	0.4099	0.0786	0.2377	
fall	0.2322	0.2023	0.4385	0.0257	0.1014	
fall	0.1340	0.4056	0.3275	0.0489	0.0840	
fall	0.0355	0.2045	0.1436	0.2484	0.3679	
fall	0.1142	0.2150	0.3106	0.2296	0.1306	
fall	0.3345	0.1836	0.2185	0.0763	0.1872	
fall	0.1096	0.0891	0.3638	0.2623	0.1752	
fall	0.7943	0.0429	0.0614	0.0174	0.0840	
fall	0.0845	0.3328	0.2285	0.2331	0.1210	
fall	0.2383	0.0750	0.4710	0.0966	0.1191	
fall	0.0555	0.5279	0.1098	0.0518	0.2551	
fall	0.8556	0.0297	0.0436	0.0249	0.0462	
fall	0.1106	0.2087	0.3690	0.0613	0.2504	
fall	0.0512	0.0451	0.1320	0.7043	0.0674	
fall	0.1193	0.2052	0.2610	0.0424	0.3721	
fall	0.2206	0.2143	0.2940	0.1320	0.1392	
fall	0.3205	0.1095	0.2008	0.0993	0.2698	
fall	0.0744	0.2401	0.1050	0.5125	0.0681	
fall	0.3044	0.1221	0.3574	0.0671	0.1489	
fall	0.1053	0.2069	0.3102	0.1602	0.2173	
fall	0.6617	0.0846	0.0815	0.1045	0.0677	
fall	0.3610	0.0695	0.0919	0.4224	0.0551	
fall	0.0425	0.1507	0.6543	0.0597	0.0927	
fall	0.0460	0.2064	0.1631	0.3357	0.2487	
fall	0.0895	0.4604	0.1477	0.0400	0.2623	
fall	0.0216	0.0467	0.0458	0.8292	0.0567	
fall	0.1471	0.0982	0.3428	0.0412	0.3708	
fall	0.0973	0.0699	0.3297	0.0342	0.4689	
fall	0.2845	0.0794	0.1048	0.3508	0.1804	
fall	0.4114	0.1216	0.2772	0.0783	0.1116	
fall	0.7087	0.0698	0.0726	0.0598	0.0891	
fall	0.1363	0.1341	0.3199	0.0416	0.3681	
fall	0.3170	0.1781	0.1893	0.0336	0.2820	
fall	0.0274	0.4645	0.2706	0.0222	0.2152	
fall	0.0529	0.0764	0.0497	0.7444	0.0766	
fall	0.0363	0.0339	0.0403	0.8533	0.0362	
fall	0.7264	0.0476	0.0867	0.0350	0.1043	
fall	0.5260	0.1108	0.1705	0.0704	0.1223	
fall	0.0605	0.2814	0.3641	0.0818	0.2121	
fall	0.6404	0.1355	0.0791	0.0787	0.0663	
fall	0.6569	0.0973	0.1387	0.0203	0.0868	
fall	0.0556	0.0666	0.0981	0.6894	0.0904	
fall	0.5242	0.1306	0.1423	0.0196	0.1832	
fall	0.0995	0.4301	0.1606	0.1097	0.2001	
fall	0.4337	0.1378	0.2249	0.0507	0.1528	
fall	0.0784	0.1123	0.4129	0.0346	0.3617	
fall	0.4460	0.0699	0.0832	0.2447	0.1561	
fall	0.1231	0.2138	0.1764	0.0839	0.4028	
fall	0.1196	0.3603	0.2882	0.0484	0.1835	
fall	0.0423	0.4212	0.1581	0.2786	0.0998	
fall	0.5527	0.1703	0.1269	0.0337	0.1164	
fall	0.3253	0.0837	0.3883	0.0563	0.1464	
fall	0.5503	0.0717	0.1119	0.2069	0.0593	
fall	0.2241	0.1531	0.3196	0.0332	0.2700	
fall	0.1466	0.2780	0.2915	0.0401	0.2438	
fall	0.1143	0.1713	0.1979	0.0269	0.4896	
fall	0.2250	0.0669	0.3438	0.1863	0.1779	
fall	0.0386	0.1776	0.1291	0.0300	0.6247	
fall	0.2543	0.2640	0.2329	0.1230	0.1258	
fall	0.6945	0.0476	0.1141	0.0534	0.0904	
fall	0.0168	0.0204	0.0179	0.9183	0.0266	
fall	0.0815	0.1616	0.4992	0.0412	0.2166	
fall	0.1418	0.1446	0.4550	0.0559	0.2026	
fall	0.0805	0.0855	0.0525	0.7057	0.0758	
fall	0.0913	0.1126	0.1555	0.4205	0.2202	
fall	0.6711	0.0678	0.1105	0.0189	0.1316	
fall	0.3791	0.2293	0.2103	0.0480	0.1332	
fall	0.0603	0.1748	0.4441	0.1415	0.1793	
fall	0.1831	0.2517	0.3791	0.0353	0.1508	
fall	0.0280	0.4913	0.1534	0.1200	0.2073	
fall	0.3544	0.1212	0.3125	0.0437	0.1681	
halfpounder	0.0287	0.0447	0.0569	0.8332	0.0365	
halfpounder	0.0724	0.2037	0.5273	0.0642	0.1325	
halfpounder	0.0182	0.0253	0.0260	0.9043	0.0262	
halfpounder	0.3535	0.2695	0.1931	0.0164	0.1676	
halfpounder	0.6628	0.0883	0.1112	0.0559	0.0819	
halfpounder	0.7838	0.0524	0.0825	0.0187	0.0626	
halfpounder	0.0375	0.1556	0.2829	0.1417	0.3823	
halfpounder	0.0337	0.1007	0.4827	0.1108	0.2721	
halfpounder	0.0599	0.5378	0.1567	0.0752	0.1704	
halfpounder	0.7156	0.0268	0.0649	0.1537	0.0390	
halfpounder	0.1361	0.2366	0.2390	0.0342	0.3540	
halfpounder	0.5352	0.1593	0.1011	0.0829	0.1214	
halfpounder	0.0709	0.1813	0.5353	0.0426	0.1699	
halfpounder	0.1566	0.0841	0.1704	0.4986	0.0904	
halfpounder	0.0547	0.4067	0.2923	0.0840	0.1624	
halfpounder	0.1437	0.1490	0.3943	0.1390	0.1742	
halfpounder	0.4367	0.0929	0.2977	0.0325	0.1401	
halfpounder	0.5542	0.0642	0.0377	0.1396	0.2042	
halfpounder	0.0348	0.0148	0.0172	0.9160	0.0172	
halfpounder	0.1495	0.4662	0.1044	0.1057	0.1741	
halfpounder	0.2608	0.2487	0.1921	0.0650	0.2333	
halfpounder	0.0283	0.4695	0.1512	0.1664	0.1847	
halfpounder	0.4844	0.0535	0.0947	0.2850	0.0824	
halfpounder	0.5385	0.1451	0.1399	0.0854	0.0911	
halfpounder	0.0659	0.2409	0.2072	0.1219	0.3640	
halfpounder	0.0574	0.1340	0.1056	0.6184	0.0845	
halfpounder	0.0760	0.1859	0.5587	0.0413	0.1382	
halfpounder	0.3494	0.0420	0.1204	0.0539	0.4343	
halfpounder	0.0645	0.1395	0.5514	0.0823	0.1622	
halfpounder	0.0541	0.1701	0.3142	0.1553	0.3062	
halfpounder	0.1270	0.1629	0.5040	0.0264	0.1797	
halfpounder	0.0567	0.4479	0.2292	0.0454	0.2208	
halfpounder	0.8342	0.0466	0.0591	0.0175	0.0427	
halfpounder	0.0452	0.3049	0.3124	0.0441	0.2934	
halfpounder	0.1506	0.2250	0.3669	0.0594	0.1982	
halfpounder	0.1698	0.4174	0.2095	0.0217	0.1816	
halfpounder	0.0551	0.1054	0.1493	0.1251	0.5652	
halfpounder	0.3895	0.0641	0.2394	0.1072	0.1999	
halfpounder	0.0438	0.0645	0.0713	0.7019	0.1185	
halfpounder	0.0499	0.7707	0.0620	0.0345	0.0829	
halfpounder	0.5899	0.1264	0.1615	0.0454	0.0769	
halfpounder	0.1453	0.0853	0.3819	0.2809	0.1066	
halfpounder	0.0291	0.0886	0.2767	0.0505	0.5551	
halfpounder	0.1686	0.1033	0.3605	0.0729	0.2946	
halfpounder	0.4938	0.1439	0.1520	0.0454	0.1648	
halfpounder	0.0906	0.1408	0.4876	0.0260	0.2550	
halfpounder	0.1081	0.4218	0.2685	0.0726	0.1290	
halfpounder	0.8697	0.0295	0.0339	0.0275	0.0394	
halfpounder	0.1265	0.1997	0.4400	0.0396	0.1942	
halfpounder	0.0486	0.4550	0.0793	0.1827	0.2345	
halfpounder	0.0285	0.0621	0.0910	0.7165	0.1019	
halfpounder	0.0646	0.1672	0.4825	0.0229	0.2629	
halfpounder	0.0738	0.3686	0.3134	0.0948	0.1495	
halfpounder	0.1419	0.2241	0.2212	0.2877	0.1252	
halfpounder	0.2006	0.1826	0.1717	0.2997	0.1455	
halfpounder	0.7060	0.0416	0.0876	0.0497	0.1150	
halfpounder	0.0606	0.2301	0.5210	0.0163	0.1719	
halfpounder	0.0397	0.2290	0.2154	0.0331	0.4828	
halfpounder	0.5915	0.0750	0.1820	0.0728	0.0788	
halfpounder	0.1487	0.4936	0.1317	0.0601	0.1659	
halfpounder	0.1691	0.3853	0.1155	0.0219	0.3083	
halfpounder	0.4393	0.1487	0.2296	0.0727	0.1098	
halfpounder	0.4669	0.1925	0.1794	0.0567	0.1044	
halfpounder	0.1336	0.2384	0.4271	0.1045	0.0964	
halfpounder	0.1207	0.2634	0.0920	0.0446	0.4794	
halfpounder	0.8567	0.0418	0.0378	0.0323	0.0314	
halfpounder	0.0517	0.2939	0.3069	0.0579	0.2895	
halfpounder	0.2467	0.1754	0.2671	0.0893	0.2214	
halfpounder	0.2189	0.3105	0.1547	0.1105	0.2055	
halfpounder	0.2125	0.1158	0.2250	0.0696	0.3771	
halfpounder	0.1739	0.2167	0.3872	0.0191	0.2032	
halfpounder	0.0380	0.3315	0.2027	0.0412	0.3866	
halfpounder	0.2752	0.3294	0.0980	0.0585	0.2390	
halfpounder	0.2993	0.1781	0.1573	0.0262	0.3391	
halfpounder	0.1554	0.4129	0.1411	0.0518	0.2388	
halfpounder	0.5907	0.1272	0.1010	0.0401	0.1410	
halfpounder	0.0794	0.3568	0.2879	0.0286	0.2474	
halfpounder	0.1725	0.2110	0.2142	0.0235	0.3788	
halfpounder	0.0687	0.1926	0.2537	0.0477	0.4373	
halfpounder	0.3782	0.1642	0.2234	0.0863	0.1480	
halfpounder	0.0740	0.1405	0.6190	0.0573	0.1093	
halfpounder	0.0134	0.0294	0.0184	0.9169	0.0219	
halfpounder	0.6691	0.0697	0.0827	0.0565	0.1220	
halfpounder	0.0933	0.2672	0.2529	0.0279	0.3587	
halfpounder	0.3651	0.1113	0.1451	0.3041	0.0745	
halfpounder	0.0276	0.0361	0.0251	0.8761	0.0350	
halfpounder	0.1348	0.0938	0.2497	0.0307	0.4911	
