indiv,Omy_AldA,Omy_AldA,SH95489-423,SH95489-423,SH100771-63,SH100771-63,SH102510-682,SH102510-682,SH105115-367,SH105115-367,SH108735-311,SH108735-311,SH110201-359,SH110201-359,SH113128-73,SH113128-73,SH117286-374,SH117286-374,SH119892-365,SH119892-365,OMGH1PROM1-SNP1,OMGH1PROM1-SNP1,Omy_arp-630,Omy_arp-630,SH96222-125,SH96222-125,SH100974-386,SH100974-386,SH102867-443,SH102867-443,SH105385-406,SH105385-406,SH109243-222,SH109243-222,SH110362-585,SH110362-585,SH114315-438,SH114315-438,SH117370-400,SH117370-400,SH120255-332,SH120255-332,SH128851-273,SH128851-273,Omy_aspAT-123,Omy_aspAT-123,Omy_g12-82,Omy_g12-82,SH97077-73,SH97077-73,SH101554-306,SH101554-306,SH103350-395,SH103350-395,SH105386-347,SH105386-347,SH109525-403,SH109525-403,SH110689-148,SH110689-148,SH117540-259,SH117540-259,SH120950-569,SH120950-569,Omy_COX1-221,Omy_COX1-221,Omy_gh-475,Omy_gh-475,SH97954-618,SH97954-618,SH101770-410,SH101770-410,SH103577-379,SH103577-379,SH105714-265,SH105714-265,SH109651-445,SH109651-445,SH111666-301,SH111666-301,SH114587-480,SH114587-480,SH117815-81,SH117815-81,SH129870-756,SH129870-756,Omy_nramp-146,Omy_nramp-146,Omy_gsdf-291,Omy_gsdf-291,SH98188-405,SH98188-405,SH101832-195,SH101832-195,SH103705-558,SH103705-558,SH106172-332,SH106172-332,SH109693-461,SH109693-461,SH112208-328,SH112208-328,SH114976-223,SH114976-223,SH118175-396,SH118175-396,SH123044-128,SH123044-128,SH130524-160,SH130524-160,Omy_Ogo4-304,Omy_Ogo4-304,Omy_mapK3-103,Omy_mapK3-103,SH98409-549,SH98409-549,SH101993-189,SH101993-189,SH104519-624,SH104519-624,SH106313-445,SH106313-445,SH109874-148,SH109874-148,SH112301-202,SH112301-202,SH115987-812,SH115987-812,SH118654-91,SH118654-91,SH125998-61,SH125998-61,SH130720-100,SH130720-100,OMY_PEPA-INT6,OMY_PEPA-INT6,Omy_mcsf-371,Omy_mcsf-371,SH98683-165,SH98683-165,SH102420-634,SH102420-634,SH105075-162,SH105075-162,SH107074-217,SH107074-217,SH110064-419,SH110064-419,SH112820-82,SH112820-82,SH116733-349,SH116733-349,SH118938-341,SH118938-341,SH131460-646,SH131460-646,ONMYCRBF_1-SNP1,ONMYCRBF_1-SNP1,SH95318-147,SH95318-147,SH99300-202,SH99300-202,SH102505-102,SH102505-102,SH105105-448,SH105105-448,SH107285-69,SH107285-69,SH110078-294,SH110078-294,SH113109-205,SH113109-205,SH117259-96,SH117259-96,SH119108-357,SH119108-357,SH127510-920,SH127510-920,SH131965-120,SH131965-120
SmithRi01,3,3,3,3,4,1,2,2,2,2,1,3,1,2,3,3,1,1,2,2,1,1,1,1,3,1,3,1,2,2,3,1,4,4,4,4,1,1,4,4,4,4,1,1,1,1,2,4,4,4,1,1,3,3,3,3,2,2,4,4,1,1,2,2,4,4,4,2,1,1,3,1,1,1,3,3,3,3,4,4,1,1,3,3,1,1,3,3,1,1,1,1,4,4,3,3,2,2,4,4,1,3,2,1,1,1,1,1,2,2,3,1,1,1,4,4,1,4,1,1,2,2,4,4,1,2,3,3,2,2,2,2,1,3,1,1,4,4,3,4,2,1,1,1,2,2,1,1,4,2,1,1,1,4,1,1,3,3,3,3,4,4,4,4,1,1,2,3,2,2,2,2,3,3,3,3,1,1,1,3
SmithRi02,3,3,1,1,4,4,2,2,2,2,1,1,1,1,3,3,1,1,2,1,1,1,3,3,3,1,1,1,2,2,3,1,4,4,2,2,1,1,2,4,4,4,1,1,1,1,2,4,4,4,1,1,3,3,3,3,2,4,4,3,1,1,NA,NA,4,1,2,2,1,3,3,1,1,1,1,3,3,3,1,4,1,1,3,3,1,3,3,3,1,1,3,3,3,3,3,3,2,2,4,4,1,3,2,1,4,1,3,3,2,3,1,1,1,1,2,4,1,1,1,1,2,2,4,4,1,2,3,3,2,4,2,2,1,1,1,1,4,4,4,4,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,3,3,3,3,3,4,4,2,4,1,1,3,3,2,4,2,2,3,3,3,3,1,3,3,3
SmithRi03,3,3,1,1,4,4,2,2,2,2,1,1,1,2,2,3,1,1,2,2,1,1,3,3,3,3,3,1,2,1,1,1,4,4,2,2,1,1,2,2,4,4,1,1,1,1,4,4,4,4,1,1,3,3,3,3,2,4,4,3,1,1,2,2,4,1,2,2,1,3,3,3,1,1,1,3,3,3,1,1,1,1,3,3,1,1,3,3,1,1,3,3,3,3,3,3,2,2,4,4,1,3,2,1,4,1,3,3,2,3,3,1,1,1,2,4,1,1,1,1,2,2,4,4,2,2,3,3,2,4,2,1,1,1,1,1,4,4,4,4,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,3,3,3,3,3,4,4,2,4,1,1,3,3,2,4,2,2,3,3,3,3,1,3,3,3
SmithRi04,3,3,1,1,4,1,2,2,2,2,1,1,1,1,3,3,1,1,2,2,1,4,3,3,1,1,1,1,2,2,3,1,4,4,4,4,1,1,2,2,4,4,1,1,1,1,2,4,4,4,1,1,3,3,3,3,4,4,4,3,1,1,2,2,4,1,2,2,1,3,3,1,1,1,1,3,3,3,1,4,1,1,3,3,1,3,3,3,1,1,3,3,3,3,3,3,2,2,4,4,1,3,2,1,4,1,3,3,2,2,3,1,1,1,2,4,1,4,1,1,2,2,4,4,1,2,3,3,2,4,2,1,1,3,1,1,4,4,3,4,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,3,3,3,1,3,4,4,4,4,1,1,3,3,2,2,2,2,3,3,3,3,1,1,3,3
SmithRi05,3,3,1,1,4,4,2,2,2,3,1,3,1,1,3,3,1,1,2,2,1,1,1,3,3,1,3,1,2,2,1,1,4,4,4,4,1,1,4,4,4,4,1,1,1,1,4,4,4,4,1,1,3,3,3,3,2,4,4,3,2,1,2,2,4,4,4,2,1,1,3,1,1,1,1,1,3,3,4,4,2,1,1,3,1,1,3,3,1,1,3,1,3,4,3,3,2,2,4,1,1,1,1,1,1,1,3,3,2,3,3,3,4,1,4,4,1,4,1,1,2,2,4,4,1,2,3,3,2,4,2,2,1,3,1,1,4,4,4,4,2,1,2,2,2,2,1,1,4,2,1,1,1,4,1,3,3,3,3,3,4,4,2,4,1,1,3,3,2,4,2,2,3,3,3,3,1,1,1,1
SmithRi06,3,4,1,1,4,1,2,2,2,2,1,3,1,1,3,3,1,1,2,2,1,4,NA,NA,3,1,3,1,2,2,3,3,3,3,2,4,1,1,4,4,4,4,4,4,1,1,2,4,4,4,1,1,3,4,3,3,4,4,4,4,1,1,2,2,4,1,2,2,1,3,3,1,1,1,1,1,3,3,4,4,2,1,3,3,1,1,3,3,1,1,3,3,3,3,3,3,2,2,4,4,1,1,2,1,1,1,3,3,3,3,3,3,1,1,4,4,1,4,3,1,2,1,4,4,2,2,3,3,2,2,2,2,3,3,1,1,4,4,3,4,2,2,2,1,2,2,1,1,4,4,1,1,1,1,1,1,1,3,1,3,4,1,4,4,1,1,3,3,2,4,2,2,3,1,3,3,1,3,3,3
SmithRi07,3,3,3,1,4,4,2,2,2,3,1,1,1,1,3,3,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,4,4,4,4,1,1,4,4,4,4,1,1,1,1,4,4,4,4,1,1,3,4,3,3,2,4,4,3,1,1,2,2,4,4,4,4,1,1,3,1,4,1,1,1,3,3,4,4,2,1,1,3,1,3,3,3,1,1,3,1,3,4,3,3,2,2,4,4,3,3,1,1,1,1,1,1,2,3,3,3,4,1,4,4,1,4,1,1,2,1,4,4,1,2,3,3,2,4,2,2,1,3,1,1,4,4,3,4,2,1,2,2,2,2,1,1,4,2,1,1,1,4,1,3,3,3,3,3,4,4,2,2,1,3,3,3,2,2,2,2,3,3,3,3,1,1,1,1
SmithRi08,3,3,3,3,4,4,2,2,2,2,1,3,1,1,2,3,1,1,2,2,1,1,1,1,1,1,3,1,2,2,1,1,3,4,4,4,1,1,2,4,4,4,4,4,1,1,4,4,4,1,3,1,3,4,3,3,4,4,3,3,2,1,2,2,1,1,2,2,1,3,3,3,1,1,1,3,3,3,1,4,1,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,2,4,1,3,3,2,1,1,1,3,3,2,2,3,1,1,1,4,4,1,1,1,1,2,1,4,4,1,2,3,3,2,2,2,2,1,3,1,1,4,4,3,4,2,1,2,2,2,2,1,1,2,2,1,1,1,4,1,1,1,1,3,3,4,4,4,4,1,1,3,3,2,4,2,2,3,1,3,3,1,1,3,3
SmithRi09,3,3,1,1,4,4,2,2,2,2,NA,NA,1,2,3,3,1,1,2,2,1,4,NA,NA,3,1,3,1,2,2,1,1,4,4,2,4,1,1,4,4,4,4,1,1,1,1,2,4,4,4,1,1,3,4,3,3,NA,NA,3,3,1,1,2,1,4,1,4,4,1,3,3,3,4,1,1,1,3,3,4,4,1,1,1,3,1,1,3,3,1,1,3,3,4,4,3,1,2,2,4,4,1,1,1,1,4,1,3,3,2,3,1,1,4,1,2,4,1,1,3,1,2,2,4,4,2,2,3,3,2,4,1,1,1,1,1,1,4,4,4,4,NA,NA,2,2,2,2,1,1,4,2,3,3,1,1,1,1,1,1,1,1,4,4,4,4,3,3,3,3,2,2,2,2,3,1,3,3,1,1,3,3
SmithRi10,3,3,3,3,4,4,2,2,2,2,1,1,1,1,3,3,1,1,1,1,1,1,3,3,3,1,1,1,2,2,1,1,3,3,2,4,2,1,2,4,4,4,1,1,1,1,2,4,4,4,1,1,3,4,3,3,2,4,3,3,1,1,2,1,1,1,2,2,1,1,3,3,NA,NA,1,3,3,3,1,4,1,1,1,3,1,1,3,3,1,1,3,3,3,3,3,1,2,2,4,4,1,3,2,2,4,1,1,3,3,3,1,1,4,4,2,2,1,4,1,1,2,1,4,4,2,2,3,3,2,2,1,1,1,3,3,1,4,4,4,4,1,1,2,2,2,2,2,1,4,2,3,3,1,1,1,1,3,3,1,3,4,4,2,2,NA,NA,3,3,2,4,2,2,NA,NA,3,3,1,1,3,3
