marker	Presumed Type	chr
1	Omy_stat3-273	Neutral	1
2	Omy_RAD39156-33	Adaptive. Natal site air temperature (warmest quarter). Basin-wide, top-outlier	6
3	Omy_cd28-130	Neutral	7
4	OMS00149	Neutral	12
5	Omy_RAD19578-59	Adaptive. Natal Site precipitation (driest quarter). Basin-wide, top-outlier	13
6	Omy_110689-148	Neutral	14
7	Omy_carban1-264	Neutral	15
8	Omy_nips-299	Neutral	15
9	Omy_anp-17	Neutral	16
10	Omy_BAMBI2.312	Neutral	19
11	Omy_inos-97	Neutral	24
12	Chr28_11667578	Adaptive. Run Timing	MSJN01110016.1
13	Omy_crb-106	Neutral	29
14	Omy_RAD78147-27	Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, top-outlier	19
15	Omy_128693-455	Neutral	25
16	Omy_116938-264	Neutral	17
17	Omy_RAD86706-72	Adaptive. Mean slope. Basin-wide, elevation-related	8
18	OMS00096	Neutral	3
19	Omy_RAD13034-67	Adaptive-Thermal Adaptation	26
20	Omy_RAD32139-58	Adaptive. Basin-wide, top-outlier	28
21	Omy_RAD55997-10	Adaptive. Range of heat load index. Basin-wide, top-outlier	6
22	Omy_RAD36848-7	Neutral	19
23	Omy_RAD66402-36	Adaptive. Natal Site annual precipitation. Basin-wide, top-outlier	12
24	Omy_myclarp404-111	Species. Cutthroat	7
25	Omy_RAD10945-51	Adaptive. Mean isothermality. Basin-wide, top-outlier	28
26	Omy_RAD73204-63	Adaptive	3
27	Omy_RAD24343-29	Adaptive. Mean air temperature (wettest quarter). Basin-wide, temperature-related	3
28	Omy_112301-202	Neutral	3
29	Omy_RAD33798-24	Adaptive. Minimum annual precipitation. Basin-wide, temperature-related;	2
30	Omy_RAD74691-49	Neutral	26
31	Omy_RAD33122-47	Adaptive. Basin-wide, top-outlier	12
32	Omy_RAD31079-58	Adaptive. Maximum annual air temperature. Basin-wide, top-outlier	14
33	Omy_hsp70aPro-329	Neutral	12
34	Omy_GREB1_09	Adaptive. Run Timing	22
35	Omy_RAD45246-10	Adaptive. Realted to energy expenditure. Basin-wide, migration-related;	19
36	Omy_RAD103359-45	Adaptive. Maximum Water Temperature. Basin-wide, top-outlier	14
37	Omy_RAD38269-10	Neutral	5
38	Omy_RAD7210-8	Neutral	15
39	OMS00114	Neutral	15
40	Omy_RAD17849-16	Adaptive. Basin-wide, top-outlier	16
41	Omy_RAD30230-25	Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, top-outlier	12
42	Omy_RAD619-59	Adaptive. Basin-wide, top-outlier	MSJN01077273.1
43	Omy_RAD66834-17	Adaptive	27
44	Omy_RAD35005-13	Adaptive. Number of Damns passed. Basin-wide, top-outlier	3
45	OMS00138	Neutral	2
46	Omy_g1-103	Neutral	13
47	OMS00079	Neutral	4
48	OMS00176	Neutral. Possible linkage	7
49	Omy_RAD25042-68	Adaptive. Maximum annual air temperature. Basin-wide, top-outlier	2
50	Omy_RAD29352-6	Adaptive. Basin-wide, top-outlier	20
51	Omy_RAD35149-9	Adaptive. Basin-wide, top-outlier	6
52	Omy_RAD20917-11	Adaptive. Basin-wide, top-outlier	2
53	Omy_RAD98715-53	Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, top-outlier	27
54	OMS00180	Neutral	13
55	Omy_RAD46314-35	Adaptive-Thermal Adaptation	2
56	Omy_99300-202	Neutral	21
57	Omy_107336-170	Neutral	25
58	Omy_sSOD-1	Neutral	29
59	Omy_RAD31408-67	Adaptive. Basin-wide, top-outlier;  Stacks Locus ID is 31408_14	16
60	Omy_RAD28236-38	Adaptive. Migration Distance to Ocean. Basin-wide, migration-related	8
61	Omy_RAD59950-44	Adaptive. Basin-wide, top-outlier	18
62	Omy_103705-558	Neutral	17
63	OmyR14589	Adaptive. Residency vs anadromy	5
64	Omy_RAD42465-32	Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, top-outlier	18
65	Omy_RAD25907-57	Adaptive. Basin-wide, top-outlier	14
66	Omy_GHSR-121	Neutral. Possible linkage	18
67	Omy_cin-172	Neutral	21
68	Omy_mapK3-103	Neutral. Possible linkage	7
69	Omy_RAD14269-30	Adaptive. Basin-wide, top-outlier	8
70	Omy_RAD366-7	Adaptive. Basin-wide, top-outlier	16
71	Omy_RAD46452-51	Adaptive. Mean annual precipitation. Basin-wide, top-outlier	28
72	Omy_RAD60135-12	Adaptive. Migration Distance to Ocean. Basin-wide, top-outlier	6
73	Omy_RAD65808-68	Adaptive. Mean precipitation (driest quarter). Basin-wide, top-outlier	1
74	OMS00039	Neutral	20
75	Omy_RAD36952-53	Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, temperature-related;	6
76	Omy_bcAKala-380rd	Neutral	5
77	Omy_RAD72528-44	Adaptive. Range of annual air temperature. Basin-wide, top-outlier	1
78	OMS00078	Neutral	1
79	Omy_gadd45-332	Neutral	1
80	Omy_107031-704	Neutral	1
81	Omy_RAD73963-73	Adaptive. Basin-wide, top-outlier	1
82	Omy_metA-161	Neutral	1
83	Omy_RAD50632-21	Adaptive. Basin-wide, top-outlier	1
84	Omy_RAD57916-29	Adaptive. Basin-wide, top-outlier	1
85	OMS00070	Neutral	1
86	OMS00003	Neutral	1
87	Omy_gdh-271	Neutral	1
88	Omy_cyp17-153	Neutral	1
89	OMGH1PROM1-SNP1	Neutral	1
90	OMS00008	Neutral	1
91	Omy_105385-406	Neutral	1
92	Omy_G3PD_2-371	Neutral	2
93	Omy_G3PD_2.246	Neutral	2
94	Omy_98683-165	Neutral	2
95	OMS00156	Neutral	2
96	Omy_114587-480	Neutral	2
97	Omy_NaKATPa3-50	Neutral	2
98	Omy_cd59b-112	Neutral	2
99	Omy_RAD27740-55	Adaptive. Mean wind velocity. Basin-wide, top-outlier	2
100	Omy_u09-53.469	Neutral	2
101	Omy_metB-138	Neutral	2
102	Omy_RAD9004-13	Adaptive. Mean air temperature (driest quarter). Basin-wide, top-outlier	2
